WKT,gini_index
"POLYGON ((-97.701423 30.281389,-97.703036 30.281153,-97.700329 30.276862,-97.697907 30.273556,-97.696272 30.268101,-97.694363 30.267432,-97.695509 30.26561,-97.693864 30.260094,-97.691142 30.258198,-97.691902 30.254746,-97.692546 30.253725,-97.692486 30.250767,-97.69083 30.249042,-97.690289 30.24579,-97.689218 30.245195,-97.68484 30.245782,-97.682667 30.247188,-97.679503 30.251874,-97.68005 30.252781,-97.678078 30.254794,-97.675471 30.259362,-97.671064 30.266235,-97.670272 30.267882,-97.668784 30.273202,-97.665508 30.285658,-97.672506 30.286809,-97.682628 30.285862,-97.701711 30.282911,-97.701423 30.281389))",0.4634
"POLYGON ((-97.732976 30.310843,-97.737643 30.303493,-97.733085 30.301291,-97.733548 30.30053,-97.723412 30.295638,-97.723143 30.296542,-97.720617 30.295383,-97.72013 30.294284,-97.710448 30.30959,-97.708682 30.312848,-97.7079 30.315224,-97.706858 30.322197,-97.712756 30.320435,-97.714942 30.32016,-97.720403 30.322712,-97.722728 30.323108,-97.724557 30.323918,-97.726326 30.32596,-97.728923 30.326587,-97.730731 30.324467,-97.728077 30.32322,-97.729393 30.321087,-97.731865 30.322262,-97.733537 30.319415,-97.731133 30.318265,-97.732176 30.316699,-97.735227 30.315635,-97.737571 30.313464,-97.732976 30.310843))",0.4924
"POLYGON ((-97.751111 30.278585,-97.750183 30.276808,-97.752085 30.274034,-97.751445 30.27349,-97.750586 30.270296,-97.751217 30.26856,-97.752264 30.268565,-97.754453 30.270237,-97.755684 30.267751,-97.754154 30.266948,-97.754495 30.264975,-97.749732 30.263589,-97.744892 30.26153,-97.74368 30.260695,-97.742219 30.258604,-97.740982 30.254788,-97.737846 30.251523,-97.735994 30.250611,-97.737098 30.255989,-97.737298 30.258262,-97.736517 30.261317,-97.735747 30.262956,-97.730048 30.278506,-97.738107 30.280688,-97.749817 30.283939,-97.751709 30.283765,-97.750432 30.28056,-97.75091 30.279995,-97.751111 30.278585))",0.5316
"POLYGON ((-97.730973 30.283918,-97.730166 30.286803,-97.731893 30.286937,-97.732794 30.285231,-97.733695 30.285315,-97.733607 30.287574,-97.734688 30.289326,-97.734735 30.290956,-97.735705 30.292202,-97.736583 30.291654,-97.738927 30.291824,-97.73934 30.286659,-97.740477 30.287397,-97.74025 30.289755,-97.741354 30.289813,-97.74181 30.285,-97.738383 30.284896,-97.737218 30.285527,-97.737022 30.287349,-97.734037 30.287097,-97.734056 30.285215,-97.734989 30.284542,-97.734666 30.283289,-97.735232 30.28172,-97.737628 30.281666,-97.738107 30.280688,-97.730048 30.278506,-97.727401 30.283078,-97.730973 30.283918))",0.47
"POLYGON ((-97.728487 30.278568,-97.711537 30.281404,-97.711755 30.28244,-97.70966 30.282774,-97.709458 30.281705,-97.703945 30.282572,-97.706293 30.286215,-97.707148 30.289196,-97.70537 30.289292,-97.701302 30.287537,-97.698568 30.289089,-97.698793 30.290118,-97.704127 30.289896,-97.706858 30.291434,-97.707114 30.294153,-97.705086 30.294169,-97.70337 30.296495,-97.70526 30.29739,-97.705699 30.298236,-97.708882 30.29785,-97.709743 30.298787,-97.708825 30.301005,-97.709211 30.302643,-97.712078 30.306192,-97.709755 30.309108,-97.710448 30.30959,-97.72013 30.294284,-97.727401 30.283078,-97.730048 30.278506,-97.728487 30.278568))",0.4606
"POLYGON ((-97.748971 30.332932,-97.746534 30.330964,-97.747069 30.32829,-97.74577 30.324941,-97.745918 30.323274,-97.745158 30.321191,-97.745909 30.320057,-97.74926 30.320863,-97.749226 30.316024,-97.74865 30.312972,-97.748979 30.310763,-97.748774 30.308747,-97.748003 30.307218,-97.74311 30.305195,-97.737571 30.313464,-97.735227 30.315635,-97.732176 30.316699,-97.731133 30.318265,-97.733537 30.319415,-97.731865 30.322262,-97.729393 30.321087,-97.728077 30.32322,-97.730731 30.324467,-97.728923 30.326587,-97.726326 30.32596,-97.727117 30.326745,-97.728183 30.32924,-97.728779 30.330566,-97.731118 30.331675,-97.731593 30.330871,-97.736757 30.333382,-97.736395 30.334126,-97.738506 30.335098,-97.74051 30.335007,-97.745996 30.335788,-97.749749 30.334495,-97.748971 30.332932))",0.4534
"POLYGON ((-97.744314 30.359578,-97.750268 30.346783,-97.755013 30.336232,-97.751533 30.334584,-97.749749 30.334495,-97.745996 30.335788,-97.74051 30.335007,-97.738506 30.335098,-97.736395 30.334126,-97.736757 30.333382,-97.731593 30.330871,-97.731118 30.331675,-97.728779 30.330566,-97.728183 30.32924,-97.725192 30.327804,-97.719122 30.337342,-97.720297 30.339729,-97.721918 30.34719,-97.714964 30.343974,-97.712787 30.347273,-97.713452 30.348032,-97.714399 30.350802,-97.715503 30.35555,-97.716875 30.360377,-97.719104 30.361066,-97.719225 30.362804,-97.717797 30.363135,-97.719538 30.368933,-97.720974 30.37034,-97.726302 30.373232,-97.730929 30.374718,-97.736119 30.377763,-97.73652 30.377579,-97.739606 30.370436,-97.740845 30.367447,-97.742361 30.368137,-97.743326 30.363989,-97.744438 30.361299,-97.744314 30.359578))",0.475
"POLYGON ((-97.735747 30.262956,-97.736517 30.261317,-97.737298 30.258262,-97.737098 30.255989,-97.735994 30.250611,-97.734424 30.250209,-97.729782 30.248109,-97.723382 30.246509,-97.717863 30.248615,-97.715936 30.249823,-97.713506 30.250432,-97.705281 30.250609,-97.701878 30.250204,-97.700481 30.248709,-97.699581 30.246909,-97.694981 30.245309,-97.69128 30.245176,-97.690289 30.24579,-97.69083 30.249042,-97.692486 30.250767,-97.692546 30.253725,-97.691902 30.254746,-97.691142 30.258198,-97.693864 30.260094,-97.695509 30.26561,-97.694363 30.267432,-97.696272 30.268101,-97.697907 30.273556,-97.700329 30.276862,-97.703036 30.281153,-97.701423 30.281389,-97.701711 30.282911,-97.703945 30.282572,-97.709458 30.281705,-97.70966 30.282774,-97.711755 30.28244,-97.711537 30.281404,-97.728487 30.278568,-97.730048 30.278506,-97.735747 30.262956))",0.4891
"POLYGON ((-97.727117 30.326745,-97.726326 30.32596,-97.724557 30.323918,-97.722728 30.323108,-97.720403 30.322712,-97.714942 30.32016,-97.712756 30.320435,-97.706858 30.322197,-97.701745 30.322129,-97.701186 30.322489,-97.698492 30.322215,-97.698006 30.3239,-97.695292 30.32433,-97.694136 30.322951,-97.691992 30.321926,-97.689155 30.322128,-97.688888 30.321507,-97.684876 30.321856,-97.679019 30.323672,-97.673228 30.32572,-97.676855 30.328153,-97.681992 30.330817,-97.686384 30.332617,-97.693271 30.335828,-97.692304 30.337406,-97.693793 30.340467,-97.697667 30.34234,-97.699625 30.338999,-97.700553 30.339569,-97.698528 30.342277,-97.701108 30.343558,-97.70334 30.342653,-97.707643 30.345784,-97.712439 30.347805,-97.712787 30.347273,-97.714964 30.343974,-97.721918 30.34719,-97.720297 30.339729,-97.719122 30.337342,-97.725192 30.327804,-97.728183 30.32924,-97.727117 30.326745))",0.4782
"POLYGON ((-97.709755 30.309108,-97.712078 30.306192,-97.709211 30.302643,-97.708825 30.301005,-97.709743 30.298787,-97.708882 30.29785,-97.705699 30.298236,-97.70526 30.29739,-97.70337 30.296495,-97.705086 30.294169,-97.707114 30.294153,-97.706858 30.291434,-97.704127 30.289896,-97.698793 30.290118,-97.698568 30.289089,-97.701302 30.287537,-97.70537 30.289292,-97.707148 30.289196,-97.706293 30.286215,-97.703945 30.282572,-97.701711 30.282911,-97.682628 30.285862,-97.672506 30.286809,-97.665508 30.285658,-97.661278 30.301709,-97.660966 30.30459,-97.661151 30.306781,-97.663089 30.315396,-97.665117 30.318949,-97.66816 30.321622,-97.672615 30.324846,-97.673228 30.32572,-97.679019 30.323672,-97.684876 30.321856,-97.688888 30.321507,-97.689155 30.322128,-97.691992 30.321926,-97.694136 30.322951,-97.695292 30.32433,-97.698006 30.3239,-97.698492 30.322215,-97.701186 30.322489,-97.701745 30.322129,-97.706858 30.322197,-97.7079 30.315224,-97.708682 30.312848,-97.710448 30.30959,-97.709755 30.309108))",0.4951
